country	year	gini_index
AE	2009	0.6485995435493852
AE	1998	0.628820896238
BH	2015	0.600166562620094
BH	2005	0.5906703335748191
BH	1995	0.6089170127300001
BR	2015	0.641121241726629
BR	2014	0.636323014787364
BR	2013	0.6388628496853471
BR	2012	0.644376529181393
BR	2011	0.651033394675847
BR	2010	0.644386478721123
BR	2009	0.6451332968280801
BR	2008	0.653019136885608
BR	2007	0.6463626696834711
BR	2006	0.6494971342368199
BR	2005	0.6473948188878071
BR	2004	0.6479128540149262
BR	2003	0.653351469958829
BR	2002	0.653196461486777
BR	2001	0.645269282364
CI	2014	0.5906055401550299
CI	2008	0.6016129067148311
CI	2002	0.6347970917229981
CI	1998	0.582880686715864
CI	1993	0.542669313899434
CI	1988	0.6245482829740001
CN-RU	2015	0.5113414394107575
CN-RU	2014	0.5105088922141021
CN-RU	2013	0.5113839336942196
CN-RU	2012	0.5132750266505898
CN-RU	2011	0.5165049453098285
CN-RU	2010	0.5104915968143008
CN-RU	2009	0.49631401156015365
CN-RU	2008	0.49031257331708156
CN-RU	2007	0.49208946798115727
CN-RU	2006	0.4830215936650365
CN-RU	2005	0.4886449867850663
CN-RU	2004	0.46014437148636933
CN-RU	2003	0.4676998747229004
CN-RU	2002	0.46648479283924993
CN-RU	2001	0.4607715499788235
CN-RU	2000	0.45313724779506237
CN-RU	1999	0.43107395426633
CN-RU	1998	0.42665138019014537
CN-RU	1997	0.43148494507802504
CN-RU	1996	0.42996330734583743
CN-RU	1995	0.42746041182948646
CN-RU	1994	0.42618799334170376
CN-RU	1993	0.4201094236381675
CN-RU	1992	0.4127597314087862
CN-RU	1991	0.4042818801984748
CN-RU	1990	0.3906867682155133
CN-RU	1989	0.387039299254468
CN-RU	1988	0.3826852964730628
CN-RU	1987	0.3773637842744111
CN-RU	1986	0.37066680734088775
CN-RU	1985	0.3619189359492615
CN-RU	1984	0.3584222482004036
CN-RU	1983	0.35420643742872837
CN-RU	1982	0.34896442884752044
CN-RU	1981	0.34218066668990654
CN-RU	1980	0.332925860967513
CN-RU	1979	0.33194579096738375
CN-RU	1978	0.3306808146642173
CN-UR	2015	0.4473929993382497
CN-UR	2014	0.4465690652048152
CN-UR	2013	0.45625590822020423
CN-UR	2012	0.4411741436300989
CN-UR	2011	0.45875272243840504
CN-UR	2010	0.45686843883588846
CN-UR	2009	0.4515522886653325
CN-UR	2008	0.4559943431150266
CN-UR	2007	0.45203579302403873
CN-UR	2006	0.449175238824167
CN-UR	2005	0.4463574437497605
CN-UR	2004	0.43834809848391776
CN-UR	2003	0.42451967428194115
CN-UR	2002	0.4126752901844365
CN-UR	2001	0.35885220495379966
CN-UR	2000	0.34564289824940886
CN-UR	1999	0.3372113360807346
CN-UR	1998	0.331612809649408
CN-UR	1997	0.3238555547367048
CN-UR	1996	0.31506729432585656
CN-UR	1995	0.3074447598824287
CN-UR	1994	0.31031890255711525
CN-UR	1993	0.3021387256935034
CN-UR	1992	0.2848078222248551
CN-UR	1991	0.2643294370658298
CN-UR	1990	0.2709092817973866
CN-UR	1989	0.2738298745805767
CN-UR	1988	0.2670186675772642
CN-UR	1987	0.25760540010654154
CN-UR	1986	0.27111885215653486
CN-UR	1985	0.2885725640239373
CN-UR	1984	0.26055898399383903
CN-UR	1983	0.24625102990640924
CN-UR	1982	0.24239326421211815
CN-UR	1981	0.24303923872101985
CN-UR	1980	0.24151243478975337
CN-UR	1979	0.23997179745236663
CN-UR	1978	0.23823832870259176
CN	2015	0.5477478101538342
CN	2014	0.5468970607889365
CN	2013	0.5544095331244345
CN	2012	0.5455567342116896
CN	2011	0.5571352456429675
CN	2010	0.5593166132523719
CN	2009	0.5532775441382964
CN	2008	0.5525512129642024
CN	2007	0.552143132087543
CN	2006	0.5489989997715172
CN	2005	0.5478186781999269
CN	2004	0.5354519770330806
CN	2003	0.5325470950767845
CN	2002	0.5241056685721881
CN	2001	0.49634961871162875
CN	2000	0.486685822303325
CN	1999	0.46887443007810004
CN	1998	0.4588250498719154
CN	1997	0.4578595258034541
CN	1996	0.45756488704033804
CN	1995	0.46403183661969205
CN	1994	0.4697740256439096
CN	1993	0.4635620538120844
CN	1992	0.44783244921097276
CN	1991	0.43186149300365806
CN	1990	0.41447342630261064
CN	1989	0.4176835553324162
CN	1988	0.40775437278500326
CN	1987	0.40334037608021056
CN	1986	0.39794510096645663
CN	1985	0.37949956342437685
CN	1984	0.37173218876284086
CN	1983	0.36633391608653787
CN	1982	0.36832661870263117
CN	1981	0.36013163980982243
CN	1980	0.3543886333990687
CN	1979	0.35247290906548767
CN	1978	0.35123645525210834
CZ	2015	0.335404423244575
CZ	2014	0.33501683586991937
CZ	2013	0.31932796210841496
CZ	2012	0.340677947706702
CZ	2011	0.3315274523495273
CZ	2010	0.3321426986050978
CZ	2009	0.32889254556753955
CZ	2008	0.3389022967915992
CZ	2007	0.32489714915884016
CZ	2006	0.3277941168105306
CZ	2005	0.32381918113574093
CZ	2004	0.3275157664420606
CZ	2003	0.31257807671283033
CZ	2002	0.2990730294935443
CZ	2001	0.30002159346126
CZ	2000	0.30102226499844287
CZ	1999	0.3020508073683539
CZ	1998	0.30313193455006504
CZ	1997	0.304196305821973
CZ	1996	0.3053158365522337
CZ	1995	0.2950768771640291
CZ	1994	0.28505242628849314
CZ	1993	0.2751688228102963
CZ	1992	0.2655123680593151
CZ	1988	0.20045875640399402
CZ	1985	0.19858235987247708
CZ	1980	0.2053861463678669
CZ	1976	0.20696059620289398
CZ	1973	0.20988046579864938
CZ	1970	0.22508336096722725
