code,year,cumul_0_25,cumul_25_50,cumul_0_50,cumul_50_75,cumul_50_90,cumul_75_90,cumul_0_90,cumul_90_95,cumul_95_99,cumul_99_100,cumul_90_100
AE,2009,0.04111,0.06783,0,0.1338,0,0.19677999999999998,0,0.16845000000000007,0.2363199999999999,0.15571,0.0
AE,1998,0.04095,0.08055999999999999,0,0.14675000000000002,0,0.18790999999999994,0,0.14819999999999997,0.2172500000000002,0.17837999999999984,0.0
BH,2015,0.049460000000000004,0.09088000000000002,0,0.15712999999999994,0,0.17392000000000002,0,0.13166000000000005,0.21458999999999973,0.18236000000000002,0.0
BH,2005,0.05111,0.09501,0,0.15961000000000003,0,0.17323000000000005,0,0.13037999999999994,0.21105999999999997,0.17960000000000004,0.0
BH,1995,0.04786,0.0929,0,0.14532,0,0.16984,0,0.13737,0.21781000000000006,0.18889999999999996,0.0
BR,2015,0.028630000000000003,0.09389,0,0.15863999999999998,0,0.16552999999999998,0,0.10429999999999992,0.1706,0.27841000000000005,0.0
BR,2014,0.03151,0.09359999999999999,0,0.15896000000000002,0,0.16671,0,0.10298999999999994,0.17024000000000003,0.27598999999999996,0.0
BR,2013,0.029889999999999996,0.09381999999999999,0,0.15881000000000003,0,0.16651999999999997,0,0.10219000000000003,0.17337,0.2754,0.0
BR,2012,0.02985,0.0911,0,0.15508,0,0.16521999999999998,0,0.10916999999999999,0.17689000000000005,0.27269000000000004,0.0
BR,2011,0.029210000000000003,0.08936999999999999,0,0.15274,0,0.16274000000000005,0,0.1038,0.17389000000000004,0.28825000000000006,0.0
BR,2010,0.02945,0.09112999999999999,0,0.15628,0,0.16762000000000007,0,0.10208999999999993,0.17583000000000001,0.27760000000000007,0.0
BR,2009,0.028610000000000003,0.09083,0,0.15653,0,0.17019999999999996,0,0.10201000000000005,0.17720000000000002,0.27462,0.0
BR,2008,0.02868,0.08779,0,0.15336,0,0.16740000000000005,0,0.09973999999999983,0.1687400000000001,0.29429000000000005,0.0
BR,2007,0.027719999999999998,0.08987000000000002,0,0.15800999999999998,0,0.17481999999999998,0,0.10411999999999999,0.1570600000000001,0.2884,0.0
BR,2006,0.027819999999999998,0.08838,0,0.15541,0,0.17477999999999994,0,0.1041800000000001,0.16541000000000006,0.28402,0.0
BR,2005,0.02851,0.08779999999999999,0,0.15656,0,0.17631000000000005,0,0.1046099999999999,0.16817999999999997,0.27803,0.0
BR,2004,0.02817,0.08688,0,0.15736,0,0.17837000000000003,0,0.10516999999999999,0.16936,0.27468999999999993,0.0
BR,2003,0.02733,0.08471000000000001,0,0.15481999999999999,0,0.17825000000000005,0,0.10872000000000001,0.17228999999999997,0.2738800000000001,0.0
BR,2002,0.02806,0.08338000000000001,0,0.15477,0,0.17971,0,0.10848000000000005,0.17888,0.26671999999999996,0.0
BR,2001,0.02808,0.08459,0,0.15888000000000002,0,0.18501999999999996,0,0.11221000000000009,0.18044999999999994,0.25076999999999994,0.0
CI,2014,0.03692,0.09755999999999998,0,0.18272,0,0.1999100000000001,0,0.11972999999999995,0.1923600000000001,0.17079999999999995,0.0
CI,2008,0.03725,0.09437000000000001,0,0.17402999999999996,0,0.19555,0,0.11814000000000002,0.19776000000000016,0.18289999999999984,0.0
CI,2002,0.032330000000000005,0.08493999999999999,0,0.15949000000000002,0,0.18686999999999998,0,0.11826000000000003,0.20782999999999996,0.21028000000000002,0.0
CI,1998,0.04376,0.09999,0,0.17694999999999997,0,0.19010000000000002,0,0.11548000000000005,0.1979099999999999,0.17581000000000005,0.0
CI,1993,0.05389,0.11111000000000001,0,0.18575,0,0.19786999999999996,0,0.11817999999999998,0.18332000000000012,0.14987999999999993,0.0
CI,1988,0.04034,0.08573000000000001,0,0.15577999999999997,0,0.17786999999999997,0,0.11624000000000001,0.21620000000000006,0.20784000000000002,0.0
CN-RU,2015,0.05661,0.12926,0,0.19624,0,0.19767999999999983,0,0.10943000000000006,0.14931999999999998,0.16146000000000008,0.0
CN-RU,2014,0.056670000000000005,0.12943,0,0.19658000000000003,0,0.19813000000000003,0,0.1098599999999999,0.15050999999999992,0.15882000000000024,0.0
CN-RU,2013,0.0565,0.1291,0,0.19629000000000002,0,0.19800999999999996,0,0.11008000000000007,0.15149999999999986,0.15852000000000005,0.0
CN-RU,2012,0.056179999999999994,0.12847999999999998,0,0.19561,0,0.19762999999999997,0,0.11022000000000004,0.15235999999999983,0.15952000000000005,0.0
CN-RU,2011,0.05587999999999999,0.12743000000000002,0,0.19409999999999997,0,0.19638999999999993,0,0.11032,0.15388,0.16200000000000006,0.0
CN-RU,2010,0.057479999999999996,0.12909,0,0.19573,0,0.19816000000000009,0,0.10880999999999988,0.14633000000000004,0.16440000000000002,0.0
CN-RU,2009,0.0584,0.13514,0,0.20325999999999997,0,0.19801000000000005,0,0.10608999999999988,0.13949,0.15961000000000003,0.0
CN-RU,2008,0.06213,0.13494,0,0.20137,0,0.19996000000000003,0,0.10841000000000006,0.1449499999999999,0.14823999999999987,0.0
CN-RU,2007,0.06302999999999999,0.13467,0,0.19916,0,0.19630999999999993,0,0.10661999999999999,0.14420999999999995,0.15600000000000014,0.0
CN-RU,2006,0.06446,0.13723000000000002,0,0.20255999999999996,0,0.1992500000000001,0,0.1072999999999999,0.14241000000000015,0.14678999999999998,0.0
CN-RU,2005,0.05825,0.13806,0,0.20715999999999998,0,0.20078,0,0.10884000000000002,0.14297000000000007,0.14393999999999993,0.0
