country,year,average,gini_index
CN-UR,1999,26533.650954099998,0.3372113360807346
CN-UR,1998,25572.1359801,0.33161280964940804
CN-UR,1997,25033.9815039,0.3238555547367048
CN-UR,1996,24991.8244461,0.31506729432585656
CN-UR,1995,25520.865170700003,0.3074447598824287
CN-UR,1994,26209.1789032,0.31031890255711525
CN-UR,1993,24866.0124035,0.3021387256935034
CN-UR,1992,24023.9078047,0.2848078222248551
CN-UR,1991,21222.162721599998,0.2643294370658298
CN-UR,1990,18731.8407788,0.2709092817973866
CN-UR,1989,20559.5423223,0.2738298745805767
CN-UR,1988,21467.6008459,0.2670186675772642
CN-UR,1987,20467.1714729,0.25760540010654154
CN-UR,1986,19323.7588208,0.2711188521565349
CN-UR,1985,17176.8599512,0.2885725640239373
CN-UR,1984,14495.466584099999,0.26055898399383903
CN-UR,1983,12280.1824069,0.24625102990640926
CN-UR,1982,11969.0668691,0.2423932642121181
CN-UR,1981,11117.253431000001,0.24303923872101985
CN-UR,1980,10797.594480700001,0.24151243478975334
CN-UR,1979,10357.0830021,0.23997179745236666
CN-UR,1978,9979.19047497,0.23823832870259176
CN,2015,57455.0691161,0.5477478101538342
CN,2014,54251.1073862,0.5468970607889365
CN,2013,49794.2455612,0.5544095331244345
CN,2012,45665.8255283,0.5455567342116896
CN,2011,42216.270335,0.5571352456429675
CN,2010,39382.5535633,0.5593166132523719
CN,2009,36079.91401,0.5532775441382964
CN,2008,33389.620697900005,0.5525512129642024
CN,2007,31081.1681993,0.552143132087543
CN,2006,27343.047082099998,0.5489989997715172
CN,2005,24300.0359914,0.5478186781999269
CN,2004,22044.8744368,0.5354519770330806
CN,2003,20088.1601324,0.5325470950767845
CN,2002,18591.6470649,0.5241056685721881
CN,2001,17085.8665773,0.4963496187116288
CN,2000,16086.3235813,0.486685822303325
CN,1999,15734.1977304,0.4688744300781
CN,1998,15286.262556900001,0.4588250498719154
CN,1997,14859.9306032,0.4578595258034541
CN,1996,14535.7429859,0.4575648870403381
CN,1995,14083.980998700003,0.4640318366196921
CN,1994,14004.320154700003,0.4697740256439096
CN,1993,13348.419214700001,0.4635620538120844
CN,1992,13322.2937224,0.4478324492109728
CN,1991,12130.219617,0.4318614930036581
CN,1990,11159.734551799998,0.4144734263026105
CN,1989,11964.1579613,0.4176835553324162
CN,1988,12821.8939002,0.4077543727850033
CN,1987,12167.018714200001,0.40334037608021056
CN,1986,11530.7619313,0.39794510096645663
CN,1985,11029.5746964,0.3794995634243769
CN,1984,9343.12199675,0.3717321887628409
CN,1983,7859.57560731,0.36633391608653787
CN,1982,7292.47624715,0.3683266187026312
CN,1981,6874.56897833,0.36013163980982243
CN,1980,6560.25382373,0.3543886333990687
CN,1979,6307.80835341,0.3524729090654877
CN,1978,6009.23539123,0.35123645525210834
CZ,2015,399086.656076,0.335404423244575
CZ,2014,377301.347352,0.33501683586991937
CZ,2013,370644.531755,0.31932796210841496
CZ,2012,374243.579835,0.34067794770670196
CZ,2011,372776.072098,0.3315274523495273
CZ,2010,365771.867593,0.3321426986050978
CZ,2009,360838.11938499997,0.32889254556753955
CZ,2008,391976.777873,0.3389022967915992
CZ,2007,388743.724761,0.32489714915884016
CZ,2006,372723.26424299995,0.3277941168105306
CZ,2005,356708.010871,0.3238191811357409
CZ,2004,335078.034073,0.3275157664420606
CZ,2003,323204.76731100003,0.31257807671283033
CZ,2002,312218.250372,0.2990730294935443
CZ,2001,309541.41425100004,0.30002159346126
CZ,2000,302456.893966,0.3010222649984429
CZ,1999,293872.797127,0.3020508073683539
CZ,1998,295884.403707,0.30313193455006504
CZ,1997,300382.982004,0.304196305821973
CZ,1996,310593.703251,0.3053158365522337
CZ,1995,301444.823897,0.2950768771640291
CZ,1994,296340.958506,0.28505242628849314
CZ,1993,288186.97562,0.2751688228102963
CZ,1992,285364.122065,0.2655123680593151
DE,2016,40297.0,0.4451102318346768
DE,2015,39640.3007812,0.4485080721585333
DE,2014,39105.1015625,0.44634479079108136
DE,2013,38629.6992188,0.4497284070428108
DE,2012,38587.6992188,0.4423806119210831
DE,2011,38686.6015625,0.4447660732307862
DE,2010,37106.6015625,0.44364717755508265
DE,2009,35629.6015625,0.4399293401451291
DE,2008,37732.8007812,0.4510770004568572
DE,2007,37809.3984375,0.4463610494064341
DE,2006,36803.8984375,0.4324353166058557
DE,2005,35137.8007812,0.4301586054837351
DE,2004,34958.0,0.4046753157408192
DE,2003,33939.8984375,0.3946252933467208
DE,2002,34211.1015625,0.4001175668993613
DE,2001,34566.1015625,0.3946931778879379
DE,2000,34232.3984375,0.3948035614594798
DE,1999,33434.3984375,0.3899844372897957
DE,1998,32931.0,0.3876393197331793
DE,1997,32435.800781200003,0.3818427959132399
DE,1996,32004.900390599996,0.37450271098712695
DE,1995,31868.5,0.3644739437746392
DE,1994,31518.599609400004,0.364003920784571
DE,1993,31080.599609400004,0.3681182161175671
DE,1992,31905.0,0.3742587471384681
DE,1991,31670.900390599996,0.3790804852483601
DE,1990,33496.3984375,0.3807596285862823
DE,1989,32537.400390599996,0.3831507321800788
DE,1988,31827.5,0.3732240167933749
DE,1987,30824.5,0.36424858272355787
DE,1986,30784.800781200003,0.35361653225856404
DE,1985,30354.5,0.35152994092973805
DE,1984,29796.300781200003,0.3496279267897649
DE,1983,28981.0,0.3499677016058954
DE,1982,28578.599609400004,0.3510672153888201
DE,1981,29045.800781200003,0.3520689054933561
DE,1980,29444.5,0.35194179668968384
EG,2015,45416.1672445,0.5374125622477279
EG,2012,43565.1520807,0.5166096153202612
EG,2010,43612.4659252,0.5182168452991871
EG,2008,45179.0506196,0.541627680321226
EG,2004,38516.8742508,0.5465334040416789
EG,1999,37893.139693900004,0.561085014644
FR,2014,35777.812999999995,0.4592652157275523
FR,2013,35566.562999999995,0.4596700244379465
FR,2012,35466.406,0.4613508141575594
FR,2011,36058.992,0.4697947408620653
FR,2010,35475.777,0.47214125953911795
FR,2009,34820.051,0.4672300858888925
FR,2008,36570.406,0.4762716627380557
FR,2007,36995.984,0.4781272216821453
FR,2006,36443.426,0.4754829167299376
FR,2005,35868.117,0.4741163905253474
FR,2004,35552.898,0.47680516412477597
FR,2003,34812.82,0.4773285517717079
FR,2002,34820.551,0.4733569373412319
FR,2001,35162.059,0.4828763626129999
FR,2000,34927.852,0.4871918042520251
FR,1999,34022.281,0.4860968026154655
FR,1998,32836.828,0.4855038431192078
FR,1997,31778.926,0.4830287200752177
FR,1996,31041.827999999998,0.48395712893775894
FR,1995,30602.041,0.4801105145870277
FR,1994,30125.445,0.480821714794079
FR,1993,29702.311,0.4819357603578285
FR,1992,30211.635,0.4810696636558299
FR,1991,29961.91,0.4875809815990663
FR,1990,30165.145,0.4886413024053838
FR,1989,29670.08,0.4899017189302943
FR,1988,28778.686,0.4856411319691016
FR,1987,27738.577999999998,0.4958393987727238
FR,1986,27230.827999999998,0.5030934344408582
FR,1985,26636.584,0.5103512206743566
FR,1984,26287.436,0.5208655914720917
FR,1983,26182.055,0.5210770868246519
FR,1982,26281.09,0.5216448812733567
FR,1981,26054.697,0.5224346375689572
FR,1980,26148.645,0.5243693164288961
FR,1979,26113.676,0.5231343810164208
FR,1978,25428.182,0.5258195990252121
FR,1977,24686.792999999998,0.5315538931037647
FR,1976,24174.99,0.5351520905095855
FR,1975,23348.385,0.5398573425957931
FR,1974,23792.246,0.5523649423531772
FR,1973,23121.895,0.5575300228333422
FR,1972,22048.701,0.5624778995872566
FR,1971,21365.26,0.5678786741014433
FR,1970,20551.426,0.5752841209091284
