year	low	high	width	share	cumul	# sptinc992i
2002	0.90000	0.95000	0.05000	0.13610	0.75860
2002	0.95000	0.99000	0.04000	0.15060	0.90920
2002	0.99000	0.99500	0.00500	0.02910	0.93830
2002	0.99500	0.99900	0.00400	0.03430	0.97260
2002	0.99900	0.99950	0.00050	0.00710	0.97970
2002	0.99950	0.99990	0.00040	0.00980	0.98950
2002	0.99990	1.00000	0.00010	0.01050	1.00000
2001	0.00000	0.90000	0.90000	0.63200	0.63200
2001	0.90000	0.95000	0.05000	0.13730	0.76930
2001	0.95000	0.99000	0.04000	0.14430	0.91360
2001	0.99000	0.99500	0.00500	0.02860	0.94220
2001	0.99500	0.99900	0.00400	0.03220	0.97440
2001	0.99900	0.99950	0.00050	0.00700	0.98140
2001	0.99950	0.99990	0.00040	0.00910	0.99050
2001	0.99990	1.00000	0.00010	0.00950	1.00000
2000	0.00000	0.90000	0.90000	0.64040	0.64040
2000	0.90000	0.95000	0.05000	0.13860	0.77900
2000	0.95000	0.99000	0.04000	0.13810	0.91710
2000	0.99000	0.99500	0.00500	0.02840	0.94550
2000	0.99500	0.99900	0.00400	0.03110	0.97660
2000	0.99900	0.99950	0.00050	0.00680	0.98340
2000	0.99950	0.99990	0.00040	0.00830	0.99170
2000	0.99990	1.00000	0.00010	0.00830	1.00000
1999	0.00000	0.90000	0.90000	0.64850	0.64850
1999	0.90000	0.95000	0.05000	0.14070	0.78920
1999	0.95000	0.99000	0.04000	0.13250	0.92170
1999	0.99000	0.99500	0.00500	0.02690	0.94860
1999	0.99500	0.99900	0.00400	0.03000	0.97860
1999	0.99900	0.99950	0.00050	0.00640	0.98500
1999	0.99950	0.99990	0.00040	0.00770	0.99270
1999	0.99990	1.00000	0.00010	0.00730	1.00000
1998	0.00000	0.90000	0.90000	0.66180	0.66180
1998	0.90000	0.95000	0.05000	0.13710	0.79890
1998	0.95000	0.99000	0.04000	0.13030	0.92920
1998	0.99000	0.99500	0.00500	0.02520	0.95440
1998	0.99500	0.99900	0.00400	0.02740	0.98180
1998	0.99900	0.99950	0.00050	0.00560	0.98740
1998	0.99950	0.99990	0.00040	0.00690	0.99430
1998	0.99990	1.00000	0.00010	0.00570	1.00000
1997	0.00000	0.90000	0.90000	0.64320	0.64320
1997	0.90000	0.95000	0.05000	0.13990	0.78310
1997	0.95000	0.99000	0.04000	0.13660	0.91970
1997	0.99000	0.99500	0.00500	0.02830	0.94800
1997	0.99500	0.99900	0.00400	0.02990	0.97790
1997	0.99900	0.99950	0.00050	0.00660	0.98450
1997	0.99950	0.99990	0.00040	0.00800	0.99250
1997	0.99990	1.00000	0.00010	0.00750	1.00000
1996	0.00000	0.90000	0.90000	0.64970	0.64970
1996	0.90000	0.95000	0.05000	0.13810	0.78780
1996	0.95000	0.99000	0.04000	0.13410	0.92190
1996	0.99000	0.99500	0.00500	0.02710	0.94900
1996	0.99500	0.99900	0.00400	0.02950	0.97850
1996	0.99900	0.99950	0.00050	0.00630	0.98480
1996	0.99950	0.99990	0.00040	0.00780	0.99260
1996	0.99990	1.00000	0.00010	0.00740	1.00000
1995	0.00000	0.90000	0.90000	0.68170	0.68170
1995	0.90000	0.95000	0.05000	0.11270	0.79440
1995	0.95000	0.99000	0.04000	0.13320	0.92760
1995	0.99000	0.99500	0.00500	0.02500	0.95260
1995	0.99500	0.99900	0.00400	0.02750	0.98010
1995	0.99900	0.99950	0.00050	0.00580	0.98590
1995	0.99950	0.99990	0.00040	0.00750	0.99340
1995	0.99990	1.00000	0.00010	0.00660	1.00000
1985	0.00000	0.90000	0.90000	0.70760	0.70760
1985	0.90000	0.95000	0.05000	0.09840	0.80600
1985	0.95000	0.99000	0.04000	0.12250	0.92850
1985	0.99000	0.99500	0.00500	0.02450	0.95300
1985	0.99500	0.99900	0.00400	0.02850	0.98150
1985	0.99900	0.99950	0.00050	0.00580	0.98730
1985	0.99950	0.99990	0.00040	0.00700	0.99430
1985	0.99990	1.00000	0.00010	0.00570	1.00000
1984	0.00000	0.90000	0.90000	0.70110	0.70110
1984	0.90000	0.95000	0.05000	0.10130	0.80240
1984	0.95000	0.99000	0.04000	0.12400	0.92640
1984	0.99000	0.99500	0.00500	0.02520	0.95160
1984	0.99500	0.99900	0.00400	0.02980	0.98140
1984	0.99900	0.99950	0.00050	0.00590	0.98730
1984	0.99950	0.99990	0.00040	0.00700	0.99430
1984	0.99990	1.00000	0.00010	0.00570	1.00000
1983	0.00000	0.90000	0.90000	0.69800	0.69800
1983	0.90000	0.95000	0.05000	0.09760	0.79560
1983	0.95000	0.99000	0.04000	0.12970	0.92530
1983	0.99000	0.99500	0.00500	0.02600	0.95130
1983	0.99500	0.99900	0.00400	0.03030	0.98160
1983	0.99900	0.99950	0.00050	0.00610	0.98770
1983	0.99950	0.99990	0.00040	0.00730	0.99500
1983	0.99990	1.00000	0.00010	0.00500	1.00000
1982	0.00000	0.90000	0.90000	0.70120	0.70120
1982	0.90000	0.95000	0.05000	0.09830	0.79950
1982	0.95000	0.99000	0.04000	0.12780	0.92730
1982	0.99000	0.99500	0.00500	0.02530	0.95260
1982	0.99500	0.99900	0.00400	0.02950	0.98210
1982	0.99900	0.99950	0.00050	0.00580	0.98790
1982	0.99950	0.99990	0.00040	0.00690	0.99480
1982	0.99990	1.00000	0.00010	0.00520	1.00000
1981	0.00000	0.90000	0.90000	0.70690	0.70690
1981	0.90000	0.95000	0.05000	0.10060	0.80750
1981	0.95000	0.99000	0.04000	0.12100	0.92850
1981	0.99000	0.99500	0.00500	0.02450	0.95300
1981	0.99500	0.99900	0.00400	0.02820	0.98120
1981	0.99900	0.99950	0.00050	0.00590	0.98710
